IDPRODUCTO,CAMBIO,FECHA,RAZON
1,10,2024-07-01 09:00:00,Reabastecimiento
2,-5,2024-07-02 10:00:00,Devolucion de cliente
3,15,2024-07-03 11:00:00,Nueva compra
4,-3,2024-07-04 12:00:00,Devolucion de cliente
5,20,2024-07-05 13:00:00,Reabastecimiento
6,-8,2024-07-06 14:00:00,Devolucion de cliente
7,12,2024-07-07 15:00:00,Nueva compra
8,-6,2024-07-08 16:00:00,Devolucion de cliente
9,25,2024-07-09 17:00:00,Reabastecimiento
10,-4,2024-07-10 18:00:00,Devolucion de cliente
11,30,2024-07-11 19:00:00,Nueva compra
12,-10,2024-07-12 20:00:00,Devolucion de cliente
13,22,2024-07-13 21:00:00,Reabastecimiento
14,-7,2024-07-14 22:00:00,Devolucion de cliente
15,18,2024-07-15 23:00:00,Nueva compra
16,-5,2024-07-16 08:00:00,Devolucion de cliente
17,10,2024-07-17 09:00:00,Reabastecimiento
18,-3,2024-07-18 10:00:00,Devolucion de cliente
19,25,2024-07-19 11:00:00,Nueva compra
20,-8,2024-07-20 12:00:00,Devolucion de cliente
21,30,2024-07-21 13:00:00,Reabastecimiento
22,-4,2024-07-22 14:00:00,Devolucion de cliente
23,15,2024-07-23 15:00:00,Nueva compra
24,-6,2024-07-24 16:00:00,Devolucion de cliente
25,20,2024-07-25 17:00:00,Reabastecimiento
26,-10,2024-07-26 18:00:00,Devolucion de cliente
27,12,2024-07-27 19:00:00,Nueva compra
28,-7,2024-07-28 20:00:00,Devolucion de cliente
29,18,2024-07-29 21:00:00,Reabastecimiento
30,-5,2024-07-30 22:00:00,Devolucion de cliente
31,25,2024-07-31 23:00:00,Nueva compra
32,-4,2024-08-01 08:00:00,Devolucion de cliente
33,15,2024-08-02 09:00:00,Reabastecimiento
34,-6,2024-08-03 10:00:00,Devolucion de cliente
35,20,2024-08-04 11:00:00,Nueva compra
36,-8,2024-08-05 12:00:00,Devolucion de cliente
37,10,2024-08-06 13:00:00,Reabastecimiento
38,-3,2024-08-07 14:00:00,Devolucion de cliente
39,25,2024-08-08 15:00:00,Nueva compra
40,-4,2024-08-09 16:00:00,Devolucion de cliente
41,30,2024-08-10 17:00:00,Reabastecimiento
42,-5,2024-08-11 18:00:00,Devolucion de cliente
43,18,2024-08-12 19:00:00,Nueva compra
44,-6,2024-08-13 20:00:00,Devolucion de cliente
45,22,2024-08-14 21:00:00,Reabastecimiento
46,-7,2024-08-15 22:00:00,Devolucion de cliente
47,12,2024-08-16 23:00:00,Nueva compra
48,-8,2024-08-17 08:00:00,Devolucion de cliente
49,25,2024-08-18 09:00:00,Reabastecimiento
50,-10,2024-08-19 10:00:00,Devolucion de cliente
